well,depth_top,depth_bottom,strat_unit,lithologic_unit,lower_contact,thrust_phase,reference
Altishofen,0,25,Quaternary,,stratigraphic,,Kopp1952
Altishofen,25,322,OMM,,stratigraphic,,Kopp1953
Altishofen,322,842,USM-II_Alt,,stratigraphic,,Kopp1954
Altishofen,842,1030,USM-I-II_Alt,,stratigraphic,,Kopp1955
Altishofen,1030,1302,USM-I_Alt,,stratigraphic,,Kopp1956
Altishofen_x,1302,1400,Kimm,,stratigraphic,,Kopp1957
Boswil,0,15,Quaternary,,stratigraphic,,Lemckeetal1968
Boswil,15,345,OSM,,stratigraphic,,Lemckeetal1968
Boswil,345,1822.5,USM-I-II,,stratigraphic,,Lemckeetal1968
Boswil_x,1822.5,1836.2,Kimm,,stratigraphic,,Lemckeetal1968
Chapelle,0,17,Quaternary,,stratigraphic,,Lemcke1959
Chapelle,17,112,OMM,,stratigraphic,,Lemcke1959
Chapelle,112,1440.5,USM-I-II,,stratigraphic,,Lemcke1959
Entlebuch,29.5,1550,thrust_sheet_1,,main_thrust,thrust_phase_1,Vollmayr_Wendt
Entlebuch,1550,1742,USM-Ie,,stratigraphic,,Vollmayr_Wendt
Entlebuch,1742,1930,USM-Ic,,stratigraphic,,Vollmayr_Wendt
Entlebuch,1930,3900,USM-Ib,,stratigraphic,,Vollmayr_Wendt
Entlebuch,3900,4343.5,USM-Ia,,stratigraphic,,Vollmayr_Wendt
Entlebuch_detailed,0,29.5,Quaternary,,stratigraphic,,Vollmayr_Wendt
Entlebuch_detailed,29.5,85,USM-Ib,,thrust,,Vollmayr_Wendt
Entlebuch_detailed,85,175,USM-Id,,stratigraphic,,Vollmayr_Wendt
Entlebuch_detailed,175,250,USM-Ic,,thrust,,Vollmayr_Wendt
Entlebuch_detailed,250,782,USM-Id,,stratigraphic,,Vollmayr_Wendt
Entlebuch_detailed,782,880,USM-Ic,,thrust,,Vollmayr_Wendt
Entlebuch_detailed,880,1195,USM-Id,,thrust,,Vollmayr_Wendt
Entlebuch_detailed,1195,1445,USM-Ib,,thrust,,Vollmayr_Wendt
Entlebuch_detailed,1445,1550,USM-Ic,,main_thrust,,Vollmayr_Wendt
Herdern,0,490,OSM,,stratigraphic,,Leuetal2001
Herdern,490,697,OMM,,stratigraphic,,Leuetal2001
Herdern,697,1297,USM-I-II,,stratigraphic,,Leuetal2001
Herdern_x,1297,2130,Kimm,,stratigraphic,,Leuetal2001
Herdern_x,2130,2400,Base,,stratigraphic,,Leuetal2001
Huenenberg,0,2,Quaternary,,stratigraphic,,Lemckeetal1968
Huenenberg,2,372,OSM,,stratigraphic,,Lemckeetal1968
Huenenberg,372,1340,OMM,,stratigraphic,,Lemckeetal1968
Huenenberg,1340,3259,USM-I-II,,stratigraphic,,Lemckeetal1968
Lindau,0,400,OSM,,stratigraphic,,Leuetal2001
Lindau,400,515,OMM,,stratigraphic,,Leuetal2001
Lindau,515,1700,USM-I-II,,stratigraphic,,Leuetal2001
Lindau_x,1700,2400,Kimm,,stratigraphic,,Leuetal2001
Linden,0,26.7,Quaternary,,stratigraphic,,Maureretal1978
Linden,26.7,888,OMM,,stratigraphic,,Maureretal1978
Linden,888,4248,USM-I-II,,stratigraphic,,Maureretal1978
Rigi,0,750,USM-Ic_Rigi,,stratigraphic,,
Rigi,750,1350,USM-Ib_Rigi,,stratigraphic,,
Rigi,1350,2000,USM-Ia_Rigi,,stratigraphic,,
Savigny,0,17,Quaternary,,stratigraphic,,Lemcke1963
Savigny_x,17,655,Savigny_thrust_1,,,thrust_phase_1,Lemcke1963
Savigny_x,655,895,Savigny_thrust_2,,,thrust_phase_1,Lemcke1963
Savigny,17,895,thrust_sheet_1,,,,
Savigny,895,1323,USM-II,,stratigraphic,,Lemcke1963
Savigny,1323,1660,USM-Ic_Sav,,stratigraphic,,Lemcke1963
Savigny,1660,2307,USM-Ib_Sav,,stratigraphic,,Lemcke1963
Savigny,2307,2321,USM-Ia_Sav,,stratigraphic,,Lemcke1963
Thun,0,33,Quaternary,,stratigraphic,,Micholet1992
Thun,33,1180,USM-Id_Thun,,stratigraphic,,Micholet1992
Thun,1180,1359,USM-Ic_Thun,,stratigraphic,,Micholet1992
Thun,1359,2282,USM-Ib_Thun,,stratigraphic,,Micholet1992
Thun,2282,4800,USM-Ia_Thun,,stratigraphic,,Micholet1992
Tuggen,0,236,Quaternary,,stratigraphic,,Handtke1959
Tuggen,236,1648,USM-II,,stratigraphic,,Handtke1959
